Médiane du niveau vie en 2015,Ets actifs agriculture au 31/12/2015,Synergie Médicale COMMUNE,Nb Omnipraticiens BV,Nb Infirmiers Libéraux BV,Nb dentistes Libéraux BV,Nb pharmaciens Libéraux BV,Moyenne Revenus Fiscaux Départementaux,Dep Moyenne Salaires Horaires,Dep Moyenne Salaires Cadre Horaires,Dep Moyenne Salaires Prof Intermédiaire Horaires,Dep Moyenne Salaires Employé Horaires,Dep Moyenne Salaires Ouvrié Horaires,Valeur ajoutée régionale,Score Urbanité,Moyenne Revnus fiscaux,Nb de Commerce,Nb de Services aux particuliers,PIB Régionnal,Score PIB,"Nb institution de Education, santé, action sociale, administration",Logements en 2015,Rés secondaires et logts occasionnels en 2015,Rés princ occupées Propriétaires en 2015,Total des ets actifs au 31 décembre 2015,Ets actifs adm publique au 31/12/2015,Ets actifs de 1 à 9 salariés au 31 décembre 2015,Nb Pharmacies et parfumerie,Indice Evasion Client,Score Evasion Client,Nb Résidences Secondaires,Nb Actifs Non Salariés,Nb Logement Secondaire et Occasionnel,Nb Hotel,Capacité Hotel,Taux Propriété,Taux Evasion Client,Chômeurs 15-64 ans en 2015,Densité Médicale BV,Indice Fiscal Partiel,Score Fiscal,Département,Code Canton,% Voix/Exp
0.30130410304382554,0.02850956333453627,0.1257794934883129,0.1383084577114428,0.11500177746178457,0.1588235294117647,0.1588235294117647,0.5867332516724771,0.11653804601534702,0.13190806388776888,0.12757913418695924,0.12808619252593734,0.12840131338237207,0.32425784062387647,0.04166666666666667,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.01076318762741714,0.006822019330443205,0.019650656805705307,0.0044080927310404415,0.007561737607705013,0.0050657339283560485,0.02702702702702703,0.0005827505815477659,0.0005827496875017602,0.024971768812236936,0.03217770396512352,0.024971768812236936,0.00904977375565611,0.0038095238095238095,0.5405228758169934,0.0005827505827505828,0.012615013607782192,0.049027771994836954,0.5904138440174354,0.5904138999999999,01,1,0.2837
0.30300174931635904,0.08949837603753158,0.09319984728290841,0.04975124378109453,0.04496978314966228,0.049509803921568625,0.049509803921568625,0.5867332516724771,0.12334389652803628,0.1396297672216278,0.13505968167973942,0.1355963602645882,0.13591323455879256,0.32425784062387647,0.019736842105263157,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.007710551123404036,0.001966290273038022,0.019080881968844565,0.003058938103641436,0.004218653612719638,0.0033449925622160578,0.0,0.0011041589966168197,0.001104157302634914,0.007904732573657735,0.039270638710123866,0.007904732573657735,0.02262443438914027,0.005054945054945055,0.7325077399380804,0.0011041589988958409,0.005760482214584175,0.33819575169342764,0.5904138440174354,0.5904139,01,2,0.2785
0.3879357499163601,0.020931071815229157,0.07508590336401816,0.06293532338308458,0.023817987913259866,0.07352941176470588,0.07352941176470588,0.5867332516724771,0.09612049447727927,0.10874295388619214,0.10513749170861862,0.10555568930998478,0.10586554985311056,0.32425784062387647,0.05833333333333333,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.007629431898946465,0.005261316066159437,0.01224490953505701,0.0027312601140831974,0.004059459136767954,0.0033610742572267116,0.0,0.001631701634588392,0.0016317137559285417,0.01937686069192075,0.026330357760708602,0.01937686069192075,0.04524886877828054,0.015164835164835164,0.468235294117647,0.0016317016317016317,0.010615432444097985,0.01575967023358452,0.5904138440174354,0.5904138999999998,01,3,0.2413
0.2975836489923248,0.05377120173222663,0.17956984685869426,0.20497512437810944,0.12051190899395663,0.15833333333333333,0.15833333333333333,0.5867332516724771,0.22543165421837486,0.2554553172295117,0.24726789407144248,0.24824887634435105,0.24859205220510006,0.32425784062387647,0.014705882352941178,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.009477594607024058,0.011348453063699117,0.01804818156578706,0.0038497587264859005,0.006128987324139852,0.0040043420576528765,0.0,0.0007198683682007612,0.0007198737158508271,0.03688019710502002,0.03456508200124559,0.03688019710502002,0.01809954751131222,0.005421245421245421,0.5608996539792388,0.0007198683669271904,0.009568632533155822,0.05211933213973432,0.5904138440174354,0.5904139000000004,01,4,0.2597
0.2766078225911896,0.017683146878383255,0.037755058753658845,0.005472636815920398,0.004088162104514753,0.0058823529411764705,0.0058823529411764705,0.5867332516724771,0.007644437812319087,0.00836081054602628,0.007890374302476072,0.007923508707523652,0.008210574559644126,0.32425784062387647,0.625,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.018821081256961705,0.005055662526546017,0.02368865289203939,0.009129218625290151,0.01749149304519133,0.012109516343022554,0.0,0.02797202796120262,0.0279717655362303,0.01157478698285597,0.05200332156944156,0.01157478698285597,0.06334841628959276,0.03772893772893773,0.5,0.027972027972027972,0.02414550455590307,1.0,0.590413844017436,0.5904139,01,5,0.1834
0.3579954018623525,0.008300252616383976,0.017223094217961227,0.00845771144278607,0.006221116246000711,0.008823529411764706,0.008823529411764706,0.5867332516724771,0.014450288325008331,0.016082513879885196,0.015370921795256265,0.015433676446174511,0.015722495736064622,0.32425784062387647,0.41666666666666663,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.004199250755593821,0.0005609512426751998,0.00973288583582738,0.0019203028550088968,0.0028655005671303206,0.002388131709082137,0.0,0.0011655011943687698,0.001165572529621585,0.0014628888204496458,0.01657324752612276,0.0014628888204496458,0.00904977375565611,0.005494505494505495,0.7725490196078432,0.0011655011655011655,0.0035798816425256647,1.0,0.590413844017436,0.5904139,01,6,0.1748
0.3400336760816518,0.09960303139660773,0.11458024010520511,0.0691542288557214,0.05279061500177746,0.07254901960784314,0.07254901960784314,0.5867332516724771,0.14376144806610403,0.16279487722320451,0.15750132415808005,0.15812686348054078,0.15844899808805404,0.32425784062387647,0.03977272727272727,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.008181912072147253,0.0038113634298346977,0.01990263476642069,0.0038076548507326074,0.004915129445008258,0.0036022996823865234,0.0,0.0004767959431508603,0.0004768251257542848,0.016810389077096807,0.04276520656009965,0.016810389077096807,0.004524886877828055,0.002857142857142857,0.7064171122994652,0.00047679593134138587,0.005969760585777617,0.7424778660569975,0.5904138440174354,0.5904139,01,7,0.276
0.315131833182552,0.11620353662937567,0.1280702498621304,0.05049751243781095,0.04710273729114824,0.07107843137254902,0.07107843137254902,0.5867332516724771,0.170984850116861,0.19368169055864023,0.18742351412920086,0.1881675344351442,0.18849668279373605,0.32425784062387647,0.024038461538461536,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.009716926389187234,0.004168516027047755,0.021118758964239582,0.004830962091866996,0.007143852108331841,0.0047441000281429665,0.02702702702702703,0.0018827326552942987,0.0018827466414560094,0.02048044348629504,0.05663967891495398,0.02048044348629504,0.013574660633484163,0.0035164835164835165,0.6248868778280543,0.0018827326519634212,0.00820918845450212,0.11613568594040759,0.5904138440174354,0.5904139000000002,01,8,0.303
0.8084570011770594,0.01623962468422952,0.044033428074492,0.01990049751243781,0.0037326697476004265,0.03137254901960784,0.03137254901960784,0.5867332516724771,0.04167369037576531,0.04696932721532084,0.04529311176637705,0.04547434740077793,0.04577018044174659,0.32425784062387647,0.14285714285714288,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.01120386977252693,0.013171927268096323,0.018586901718212367,0.0034616708282381543,0.005830497681730444,0.0033851967997426927,0.02702702702702703,0.006993006965170375,0.006992964898041952,0.02150703213222462,0.03484187945470902,0.02150703213222462,0.05429864253393665,0.02989010989010989,0.5478991596638655,0.006993006993006993,0.01161764189175807,0.17274668538356758,0.5904138440174357,0.5904138999999999,01,9,0.1351
0.2939217081663031,0.06964994586791771,0.18139396767488228,0.14029850746268657,0.11375755421258443,0.13088235294117648,0.13088235294117648,0.5867332516724771,0.24584920575644256,0.2786204272310885,0.2697095365497831,0.2707793795603036,0.27112781573436157,0.32425784062387647,0.016891891891891893,0.7365021210952565,0.3201706060067532,0.17111765324361267,0.3383810500302337,0.3383811,0.36594555800481876,0.009510105720257258,0.018988052463941262,0.016213321539346896,0.003350004027327246,0.006367779038067379,0.003489727817311945,0.0,0.0009450009531931029,0.0009450232190681727,0.05140642644492352,0.03560307245173344,0.05140642644492352,0.03619909502262444,0.008498168498168498,0.45087440381558025,0.0009450009450009451,0.007395206409864582,0.06238092612327526,0.5904138440174354,0.5904139000000002,01,10,0.268
